Country,Country_id,Quarantine_type
Rwanda,RWA,"Quarantine requirement at government designated site.

After providing proof of a negative COVID-19 PCR test (as outlined above), all arriving passengers must then enter quarantine at a designated hotel whilst awaiting the results of a second COVID-19 test, taken on arrival, which can be up to 24 hours. Designated hotels can be found in the <a href=""https://rdb.rw/wp-content/uploads/2020/07/Info-note-for-passengers-arriving-in-Rwanda-b.pdf"">Government of Rwanda guidance</a>. The test will cost 60USD. If the results are negative you are free to leave quarantine. If the results are positive and you have severe symptoms, you will be required to enter a government treatment facility. If the results are positive and you do not have severe symptoms, you will be moved from the hotel in which you were quarantining to your own choice of accommodation. Once there the Rwanda Biomedical Centre will send a medical team to assess whether you can remain there. <br>"
Saba,ANT,"Self-isolation at own accommodation.
Residents of Saba are able to return home to Saba but will have to go into self-quarantine for 14 days, no matter which country they are returning from."
Saint Barthélemy,BLM,"Self-isolation at own accommodation.
The French Government outlined new measures on 16 March to stem the spread of coronavirus, which also apply to the French Overseas Territories. This included confining people to their homes except for outings for specific purposes effective from midday 17 March 2020. The local Prefecture website will have details of any further local restriction."
Saint Helena,SHN,"Quarantine requirement at government designated site.
All arrivals to Ascension that have travelled from a COVID-19 infected area within the last 14 days, or travelled with others who have been in an infected area in the last 14 days, are subject to isolation restrictions for 14 days following their arrival at Ascension unless otherwise directed by the Senior Medical Officer. During this time their conditions are monitored for the development of symptoms which may be considered consistent with COVID-19. Air crews are also required to isolate for the duration of their stay on island. The Ascension Island Government will test all arrivals for COVID-19 before they exit quarantine.

Countries currently defined as being an infected area are listed <a href=""https://www.ascension.gov.ac/public-document/cv01n-notice-of-infected-areas-18-august-2020"">here</a>."
Saint Kitts and Nevis,KNA,"Quarantine Requirement- Unknown where.
For a period of 30 days from 7 February, travellers from the UK will not be allowed to enter St Kitts and Nevis. After the thirty-day Travel Advisory period, travellers from the UK will be required to quarantine inside their hotel room for the duration of their stay or mandatory 14-day quarantine. Whilst in quarantine, visitors will not be allowed to move freely around their hotel.<br>
Returning nationals and residents may also opt to stay in pre-approved quarantine housing at their own cost, including appropriate security<br>
Travellers should regularly check the St. Kitts Tourism Authority websites <a href=""https://www.stkittstourism.kn/"">St.Kitts Tourism</a> and <a href=""https://www.nevisisland.com/"">Nevis Tourism Authority</a> and for updates and information on travel requirements. Changes may take affect at short notice.
"
Saint Lucia,LCA,"Quarantine requirement at government designated site.

All returning residents, except those from the Travel Bubble, are required to quarantine for 14 days at a Government operated quarantine facility or a COVID-19 certified property. All international visitors must stay at a COVID-certified property for the duration of their stay. Any symptomatic passengers will be isolated and tested. All visitors will be required to remain in quarantine/isolation at your hotel or Government operated quarantine facility until the test result is obtained. If the test is positive all visitors and nationals will be transferred to a treatment facility until they receive two negative test results and are clinically stable."
Saint Martin,MAF,"Quarantine Requirement- Unknown where.
All incoming passengers are subjected to a quarantine of up to 14 days upon their arrival."
Saint Pierre et Miquelon,SPM,Not known.
Saint Vincent and the Grenadines,VCT,"Quarantine requirement at government designated site.

Travellers must quarantine for a minimum of 14 days, the first 5 of must be in an approved Transition/Quarantine Hotel at their own expense. Travellers must provide proof of the fully paid reservation and must transfer to the Transition Hotel in an approved AIA taxi or approved vessel (plane or ferry) at their own expense."
Samoa,WSM,"Quarantine requirement at government designated site.
You will be quarantined for 14 days upon arrival into Samoa at a designated location. You must bring your own personal necessities, such as soap, tooth brush, toothpaste, to last for the 14 days of quarantine.

Passengers are advised to check in 1 piece of luggage (max 20 kgs) when boarding. If you have any known medical conditions, please ensure you have enough medication to last for 2 months and inform relevant officials on arrival. You’re not allowed to bring alcohol into the quarantine site or allowed to consume any alcohol. Passengers who are on special diets will be responsible to pay for their own special dietary needs. You need to wear a face mask at all times and advised to maintain social distancing in flight.

Whilst in quarantine the cost of accommodation, breakfast and lunch for passengers should be borne by the Samoan government, but dinner will be the passenger’s responsibility. All children and infants less than 18 years must be accompanied by a parent or legal guardian. Parents must ensure all immunisations are up to date. Parents/legal guardians travelling with children must ensure sufficient supplies of basic needs while in quarantine, such as diapers, wipes, formula. A family member must travel with passengers having chronic medical conditions, the elderly and those with special needs. There are penalties if the conditions of the quarantine are breached."
San Marino,SMR,"Self-isolation at own accommodation-subject to category.
<br>
People who do not present negative results of a molecular or antigenic test are subject to mandatory health surveillance and 14-day fiduciary isolation. Some <a href=""http://www.salute.gov.it/portale/nuovocoronavirus/dettaglioContenutiNuovoCoronavirus.jsp?lingua=italiano&id=5412&area=nuovoCoronavirus&menu=vuoto&tab=7"">exceptions</a> to the requirement for quarantine are in place.
<br>
<p>As of 10.12.2020, travellers who, in the previous 14 days, stayed in or transited through an EU Member State or Schengen Associated Country and UK, (list C acording to the <a href=""http://www.governo.it/sites/new.governo.it/files/dpcm_20201203_txt.pdf"" target=""_blank"" rel=""noopener"">Prime Ministerial Decree of 3 December 2020</a>), are required to provide a <strong>certificate of a negative COVID-19 test</strong> performed up to 48 hours before their arrival in Italy. People who do not present the negative results of a molecular or antigenic test are subject to a mandatory health surveillance and 14-days fiduciary isolation.&nbsp;</p><p>There are some exceptions to the requirement for a molecular or antigenic test, in the following cases:&nbsp;</p><ul><li>travellers who enter Italy for a period not exceeding 120 hours for proven work, health or absolute urgency needs.</li><li>Travellers (regardless of nationality) who transit by private vehicle through the Italian territory for a period not exceeding 36 hours.&nbsp;</li><li>Health personnel entering Italy for the exercise of professional health qualifications.&nbsp;</li><li>Cross-border workers entering and leaving the national territory for proven work reasons.</li><li>Pupils and students who enter the National territory for study reasons.&nbsp;</li><li>Passengers on ""Covid-tested"" flights.</li></ul><p>Furthermore, <strong>travellers who arrive in Italy between 21.12.2020 and 6.1.2021 or after 6.1.2021</strong> for reasons other than necessity and who, in the previous 14 days, stayed or transited through an EU Member State or Schengen Associated Country and UK, (list C acording to the <a href=""http://www.governo.it/sites/new.governo.it/files/dpcm_20201203_txt.pdf"" target=""_blank"" rel=""noopener"">Prime Ministerial Decree of 3 December 2020</a>), are subject to a mandatory health surveillance and 14-days fiduciary isolation.&nbsp;</p><p>Moreover, travellers coming from these countries are obliged to immediately inform the Prevention Department of the relevant local Health Authority upon their entry into the Italian territory.&nbsp;</p><p>As far as Third-countries are concerned, travellers from <strong>Australia, Japan, New Zealand, Rwanda, South Korea, Thailand, Singapore, Uruguay</strong> are allowed to enter for any reason (including tourism).</p><p>For travellers coming from Third-countries not belonging to the previous list, travel is allowed only for specific reasons, such as work, health or study or in general absolute urgency.</p><p>In all the described cases, travellers have to:</p><ul><li>provide a <a href=""https://www.esteri.it/mae/resource/doc/2020/08/self-declaration_in_case_of_entry_into_italy_from_abroad_-__form_18_8.pdf"" target=""_blank"" rel=""noopener"">self-declaration</a> to the carrier or, upon request, to law enforcement officers;</li><li>self-isolate for 14 days and undergo supervision by the competent local Health authority;</li><li>reach their final destination in Italy only by private vehicle (airport transit is allowed, however without leaving the dedicated areas of the terminal).</li></ul><p>Individual Regions may require those coming from some foreign states or territories to comply with particular obligations. Before leaving, it is recommended to check any additional regional provision, by contacting the Region directly or by visiting the respective <a href=""http://www.regioni.it/regioni-online/"" target=""_blank"" rel=""noopener"">websites</a>.</p><p>For information on how to perform a swab, you can call the Ministry of Health at the following numbers:</p><p>from abroad: +39 0232008345 - +39 0283905385<br />from Italy: free number 1500</p><p><strong>To know more:&nbsp;</strong></p><p><a href=""https://www.esteri.it/mae/resource/doc/2020/12/normativa_anti-covid_per_rientro_da_estero_4_12_20_rev_2_eng.pdf"" target=""_blank"" rel=""noopener"">Covid-19 travel guidance</a></p>"
Sao Tome and Principe,STP,Unlear if there are any qurantine requirements or self-isolation at home. 
Saudi Arabia,SAU,"Self-isolation at own accommodation.

The Saudi authorities require anyone who is travelling from a country where the new strain of COVID-19 has spread to spend at least 14 days outside the affected country before entering the Kingdom. Travellers from countries where cases of the new strain have been registered are required to quarantine at home for 7 days, and undergo a PCR test on the 6th day before ending quarantine. Travellers from all other countries are required to quarantine at home for 7 days, or 3 days followed by a negative PCR test.
You should keep up to date with information from your airline or tour operator on the impact on any existing travel plans."
Senegal,SEN,"Quarantine requirement at government designated site- subject to PCR.

Incoming passengers may be subject to a 14-day quarantine upon arrival. To enter Senegal, you must provide a negative test dated no more than 5 days earlier, issued in the country where you started your trip and authorised by that country or a recognised health organisation. If this is not possible, you will need to declare that you have no symptoms and accept having a test done on arrival, if deemed necessary. This would be at your cost. If you have symptoms of COVID-19 or test positive, you will be taken into Senegalese health care."
Serbia,SRB,"Self-isolation at own accommodation- subject to PCR.

Serbian nationals and foreign nationals with temporary and permanent residence must either present a negative PCR test taken in the 48 hours before arrival or spend 10 days in self-isolation at home following entry to Serbia. Individuals undergoing self-isolation must report to a healthcare centre within 24 hours of entering Serbia by registering at <a href="" http://www.e-zdravlje.gov.rs""> http://www.e-zdravlje.gov.rs </a>"
Seychelles,SYC,"Quarantine requirement at government designated site.

Travellers permitted to enter the Seychelles will be required to quarantine or self-isolate on arrival, subject to direction from the Public Health Authority, for ten days in accommodation approved by the Public Health Authority. A COVID-19 test must also be performed no more than 48 hours before departure and you must be able to demonstrate a negative test result on entry."
Sierra Leone,SLE,"Quarantine requirement at government designated site- subject to PCR.

If you test positive for the RDT test, you’ll be required to quarantine at a hotel in Lungi at your own expense while you wait for the result of your PCR test. The PCR result supersedes the RDT result. If you test positive for the PCR test result, you’ll be contacted by Sierra Leonean health authorities and required to self-isolate. Passengers sitting in close proximity to a positive case on the flight will be treated as a primary contact and be required to self-isolate until you return a negative PCR COVID-19 test. Social distancing and the use of facemasks is mandatory at Freetown Lungi International airport. "
Singapore,SGP,"Quarantine requirement at government designated site.

Singapore citizens and permanent residents are required to undertake an 14 days in quarantine at a government facility on arrival, followed by 7 days quarantine at their place of residence and short term visitors are required from 31 January 2021 to have medical insurance of at least S$30,000.
Everyone granted permission to enter Singapore will be tested for COVID-19 upon arrival and will be issued with a Stay at Home Notice (SHN). For most arrivals this is for 14 days. SHNs must be served at a government designated hotel and costs $2,000.
A limited number of countries have been designated as ‘low-risk’ and will be issued with a 7-day SHN, or no SHN. Arrivals from<a href=""https://www.gov.sg/article/updates-to-border-measures-for-low-risk-countries-from-1-sep"">these countries</a>   will be also be permitted to carry out quarantine at their residence, if applicable. Full details of exemptions including testing requirements and quarantine information can be found on the Singapore Immigration and Checkpoints Authority (ICA) <a href="" https://www.ica.gov.sg/covid-19/ArrivalSG "">‘Arrival in Singapore’</a>  and <a href=""https://safetravel.ica.gov.sg/"">‘SafeTravel’</a>  webpages. You should check these websites for updates and review <a href=""https://www.gov.sg/article/everything-you-need-to-know-about-the-stay-home-notice"">SHN </a>  details before travelling.
Everyone aged over 12 who is in home quarantine will be required by law to wear an electronic tag for the duration of their quarantine period. The tags are about the size of a watch and are worn on the wrist.
In addition to quarantine fees, all arrivals must pay for a COVID-19 test which will be conducted before the SHN quarantine period ends. While you are serving quarantine you will not be allowed to leave your room/place of residence. Smoking may not be allowed in the facilities. The quarantine period cannot be reduced, even if you wish to leave Singapore. Failure to comply carries a fine and a jail term of up to six months. More details can be found on the Singapore government website.
<a href=""https://safetravel.ica.gov.sg/arriving/overview"">Specific schemes</a>  exist for essential business travel to Singapore from certain countries. To use these schemes your travel must be sponsored by your employer. Schemes also exist for long-term pass holders to facilitate limited travel between<a href=""https://safetravel.ica.gov.sg/"">>  Malaysia and Singapore</a."
Sint Eustatius,ANT,"Quarantine requirement at government designated site or self-isolation at home.
Passengers from Bonaire, Curacao, Saba, Sint Maarten, and St. Kitts and Nevis can request entry to Sint Eustatius without quarantine restrictions. Passengers from Aruba, the Netherlands, Belgium, Germany, and France can request entry to Sint Eustatius, but must comply with a home-based quarantine. Passengers from the United States, the United Kingdom, the Dominican Republic, and most South and Central American countries can request entry to Sint Eustatius, but must comply with a mandatory quarantine in a quarantine facility"
Sint Maarten,SXM,"No requirement.
A determined list of nationals establishes entry and the obligation to have a medical certificate with a negative Coronavirus (COVID-19) PCR test taken and have the result within 72 hours before arrival date."
Slovakia,SVK,"Self-isolation at own accommodation.
<br>
If a negative PCR test result is not provided upon arrival, travellers who enter the territory of the Slovak Republic and who visited, during the previous 14 days, a country classified as ""high-risk"", must remain in self-isolation for 10 days if they are asymptomatic. The self-isolation is ended after the 10-day period is over, even without the result of a negative RT-PCR test for Covid-19 disease. Alternatively, the self-isolation can be ended bya negative PCR test result for COVID-19 performed no earlier than on day 5 of self-isolation.<br>
If the person does not have a place of residence in the Slovak Republic, the isolation in a hotel or an accommodation facility is possible.<br>
This person is obliged to contact the competent <a href=""https://korona.gov.sk/kontakty/#ruvz"">Regional Public Health Authority</a>  by phone or electronically by registration on <a href=""https://korona.gov.sk/ehranica/"">eHranica form</a> (providing information such as personal data, telephone number, address of the self-isolation). On the basis of this information, the Public Health Authority will arrange a COVID-19 test. This isolation must be extended to all persons living in a common household with the isolated person. The testing is not obligatory for children under 3 years of age unless the regional Public Health Authority of the General Practitioner - Paediatrician does not decide otherwise.
<br> 
<br>
<p>As of 16.11.2020, all people who enter the territory of the Slovak Republic and who visited, during the previous 14 days, <strong>an EU country</strong> classified as ""high-risk"", must remain in<strong> self-isolation for 10 days</strong> if they are <strong>asymptomatic</strong>.&nbsp;The self-isolation&nbsp;is completed after the 10-days period is over,&nbsp;even without the result of a negative RT-PCR test&nbsp;for Covid-19 disease. Alternatively, they must remain in self-isolation <strong>until they receive a negative PCR test result</strong> for COVID-19 performed&nbsp;not earlier than on the fifth day of self-isolation, or <strong>present upon arrival a negative test result</strong>&nbsp;for COVID-19&nbsp;not older than 72 hours. If the person does not have a place of residence in the Slovak Republic, the isolation in a hotel or an accommodation facility is possible.</p><p>All people who enter the territory of the Slovak Republic and who visited, during the previous 14 days, a<strong> non-EU country</strong> classified as ""high-risk"", must must remain in self-isolation <strong>until they receive a negative PCR test result</strong> for COVID-19 performed&nbsp;not earlier than on the fifth day of self-isolation. If the person does not have a place of residence in the Slovak Republic, the isolation in a hotel or an accommodation facility is possible.</p><p>This person is obliged to contact the competent <a href=""https://korona.gov.sk/kontakty/#ruvz"" target=""_blank"" rel=""noopener""> Regional Public Health Authority</a> by phone or electronically by registration on&nbsp;<a href=""https://korona.gov.sk/ehranica/"" target=""_blank"" rel=""noopener"">eHranica form</a>&nbsp;(providing information such as&nbsp;personal data, telephone number, address of the self-isolation). On the basis of this information the Public Health Authority will arrange a COVID-19 test. This isolation must be extended to all persons living in a common household with the isolated person. The testing is not obligatory for children under 3 years of age, unless the regional Public Health Authority of the General Practitioner - Paediatrician does not decide otherwise.</p><p><strong>Find out more:&nbsp;</strong></p><p><a href=""https://www.mzv.sk/web/en/covid-19"" target=""_blank"" rel=""noopener""> Covid-19 info</a></p><p><a href=""https://www.mzv.sk/documents/10182/4098495/201113-vyhlaska-UVZSR-karantena-podmienky-vstupu-od-201116-EN.pdf/78c73335-b31e-46dc-b48b-c868d15dfe5f"" target=""_blank"" rel=""noopener"">Decree of the Public Health Authority</a></p>"
Slovenia,SVN,"Self-isolation at own accommodation.
 <br>
Travellers who are a resident in a country listed as having an <a href=""https://www.gov.si/en/topics/coronavirus-disease-covid-19/border-crossing/"">unstable epidemiological situation</a> (""red"" list, category 2), or who arrive from such a country, shall be required to stay in quarantine for a period of 10 days.<br>
Depending on their epidemiological situation, Slovenia divides countries into three categories. For each category, a different set of entry rules applies.
People with permanent or temporary residence in a country that has been listed as <a href=""https://www.gov.si/en/topics/coronavirus-disease-covid-19/border-crossing/"">epidemiologically safe</a>
 (the ""green"" list, category 1), and arriving from such countries, can enter Slovenia without restrictions or quarantine.
A person is considered to be coming from a country on a ""green"" list if he/she has stayed in that country continuously for 14 days before entering Slovenia (which can be proven by a proper certificate).
<a href=""https://www.gov.si/en/topics/coronavirus-disease-covid-19/border-crossing/"">If a country is not on the list of epidemiologically safe or on the list of countries with an unstable epidemiological situation</a>, it shall be considered that it has been included on the ""orange"" list (category 3).
Travellers arriving in Slovenia from a EU Member State or from a Schengen Associated Country included on the ""orange"" list can enter Slovenia without restrictions or quarantine.
"
Solomon Islands,SLB,"Quarantine requirement at government designated site.

Quarantine for a minimum of 14 days (for travel from designated ‘low risk’ country) is mandatory on arrival and all passengers will undertake at least 3 COVID tests before being permitted to leave quarantine. Non-Solomon Islanders will be expected to pay for quarantine in one of the local hotels."
Somalia,SOM,"Quarantine requirement subject to PCR. 

Somalia: COVID-19 tests have been required for incoming passengers and you will need to self-isolate for 14 days after arrival.
Somaliland: A negative COVID-19 test, taken no more than 96 hours before travel, is required for entry into Somaliland. If you do not have this evidence on arrival, then you may have to spend 14 days in quarantine at your own expense in a government approved facility."
South Africa,ZAF,"Quarantine requirement at government designated site or self-isolation (if requested).

If you fail to produce a paper copy of a negative PCR (polymerase chain reaction) test you will be required to quarantine at a government-appointed facility at your own cost. Self-isolation is not required if you have provided the negative PCR (polymerase chain reaction) test. "
South Georgia and the South Sandwich Islands,SGS,Unknown
South Sudan,SSD,"Self-isolation at own accommodation.

Anyone entering the nation will be assigned to a 14-day quarantine."
Spain,ESP,"There is no mandatory quarantine for travellers, but PCR is required.
<br>
Coronavirus test is required if arriving from high-risk areas by air or sea transport.<br>
All passengers that enter Spain by air or sea transport and who come from a <a href=""https://www.mscbs.gob.es/en/profesionales/saludPublica/ccayes/alertasActual/nCov/spth.htm"">COVID-19 high-risk country or area</a> must present a certificate with a negative result for a COVID-19 RT-PCR test, a Transcription-Mediated Amplification (TMA) test, or any other test based on equivalent molecular techniques, carried out in the 72 hours before arrival. The list of high-risk countries /areas, as well as the criteria used to define them, are reviewed every 15 days.<br>

"
Sri Lanka,LKA,"Quarantine requirement at government designated site and self-isolation at home.
14 day quarantine is mandatory for all those travelling into Sri Lanka, usually followed by 14 days self-isolation at home. All arriving passengers must now take a PCR test."
Sudan,SDN,"Quarantine requirement at government designated site or self-isolation at home.

All other passengers must possess a certificate confirming a negative result for a test, taken less than 72 hours before arrival and must self-isolate for 14 days on arrival."
Suriname,SUR,"Quarantine requirement at government designated site or self-isolation at home.

All incoming travellers are subject to a 14-day quarantine upon arrival (seven days at a government facility plus seven days at home for people travelling from high COVID-19-infected countries like the USA or Brazil). People coming from the countries with a decreasing COVID-19 trend will be home quarantined for 14 days."
Svalbard and Jan Mayen Islands,SJM,Unknown
Sweden,SWE,"Self-isolation is not required.
<br>
Citizens from EU Member States (with the exception of Denmark) and Schengen Associated countries, and their family members, as well as people with Swedish residence permits, are allowed to enter Sweden without restrictions.

"
Switzerland,CHE,"Self-isolation at own accommodation.
<br>
EU Member States and Schengen Associated countries are exempt from the general advice against non-urgent travel abroad, unless they are defined as Covid risk areas (<a href=""https://www.bag.admin.ch/bag/en/home/krankheiten/ausbrueche-epidemien-pandemien/aktuelle-ausbrueche-epidemien/novel-cov/empfehlungen-fuer-reisende/quarantaene-einreisende.html#1918240392"">list of countries concerned</a>). <br>
All travellers from countries or regions that are defined as Covid risk areas will have to quarantine for 10 days.<br> 
Travellers that are required to go into quarantine will be notified during the flight, onboard of coaches and at border crossings. They will have to register with the cantonal authorities within 2 days after arrival and follow their instructions.<br>
You have to report your arrival to the responsible cantonal authority within two days, and follow its instructions. The list of countries and territories with increased covid-infection risks is defined and regularly updated at www.bag.admin.ch <br>
The mandatory quarantine requirement does not apply to transit passengers who have spent less than 24 hours in a country or area with an increased risk of infection.<br>
Airline and travel companies are instructed not to transport sick passengers.<br>"
Syrian Arab Republic,SYR,"Quarantine requirement at government designated site.
Syrians returning from abroad on government-organised repatriation flights are required to undergo 14-day quarantine at designated facilities. 
WFP Only: WFP staff coming from Beirut should do the PCR test upon arrival and wait 8 hours for the results, before transiting to Damascus. Staff can also be tested in a new clinic located in Beirut international airport, which provides results within 4 hours. If they arrive before 2:00pm it is possible to be tested and travel to Damascus on the same day.  
Upon arrival in Damascus they will stay for 5 days in the Yaafour resort (for international staff) or at their own residence (national staff).  "
Taiwan,TWN,"Quarantine requirement at government designated site or own accommodation.

All passengers arriving directly from the UK, or those who have been in the UK in the previous 14 days, are required to have a PCR test upon arrival in Taiwan. If the test result is negative, they are then required to complete their mandatory 14 day quarantine at a designated quarantine centre. A positive test will mean hospitalisation. This applies to all nationalities and is irrespective of the purpose of travel. Upon completion of this 14 day quarantine, all passengers are required to provide a negative COVID-19 test before they are allowed to leave quarantine. An additional 7 day self-health management period is then required. "
Tajikistan,TJK,"Quarantine requirement at government designated site.

Travellers entering Tajikistan are currently being confined in state facilities for 14 days upon arrival; this may be subject to change. "
Thailand,THA,"Quarantine requirement at government designated site.

All travellers to Thailand are required to complete 14 days quarantine at a State Quarantine or <a href=""https://thaiembdc.org/asq/"">Alternative State Quarantine (ASQ) facility</a>.
If you test positive whilst in ASQ: You and anybody travelling with you will automatically be transferred to hospital and held in isolation.
You will be required to remain in hospital for 14 days, even if you have a negative test.
If you test positive you will be required to provide 2 negative tests, 5 days apart, before being considered for release.
If you still test positive after 14 days, the hospital may consider further quarantine either in hospital or self-isolating at home.  "
Timor-Leste,TLS,"Quarantine requirement at government designated site or own accommodation.

You will need to quarantine for 14 days either in a government facility or in your own accommodation, subject to the approval of the Ministry of Health. Those who present symptoms of COVID-19, including a fever greater than 38°C, cough and/or breathing difficulties will be prevented from travelling, and taken to a health facility for a COVID-19 test. Positive cases will be subject to isolation. "
Togo,TGO,"Quarantine requirement at government designated site or self-isolate- subject to PCR.

Those with positive test results will be required to self-isolate either at home or at a government facility until they test negative."
Tokelau,TKL,Unknown
Tonga,TON,"Quarantine requirement at government designated site.

Citizens, permanent residents, and emergency officials coming into the country from abroad will have to comply with the 14 day self-isolation period as directed by the authorities."
Trinidad and Tobago,TTO,"Quarantine Requirement- Unknown where. 

The  <a href=""https://twitter.com/ttnatsecurity/status/1325219014654758913"">government’s rules on exemption policies and quarantine procedures for nationals of Trinidad and Tobago</a> were updated on 7 November. Non-nationals are still not permitted to enter Trinidad and Tobago, except in certain exceptional circumstances. From November 15, nationals entering Trinidad and Tobago will be required to provide a negative Polymerase Chain Reaction (PCR) test, which was taken within 72 hours of arrival into the country. In response to reports of a new strain of COVID-19, on 22 December the government of Trinidad and Tobago introduced stricter measures for travellers entering Trinidad and Tobago who have been in the UK in the 14 days prior to arrival. Travellers in this category will need a negative PCR test within 72 hours of travel and on arrival will be required to be placed in state quarantine or state supervised quarantine for a 14-day period.<br>
Nationals arriving into Trinidad and Tobago from outside the UK will be required to be placed in state quarantine, or state supervised quarantine for a 7 day period followed by seven day period of home isolation. You will be tested on the sixth day of your quarantine and released to home isolation once you test negative. The Trinidad and Tobago authorities will seek to prosecute people who breach COVID-19 protocols, including those who break quarantine protocols, which may result in a fine and/or a prison sentence.<

 "
Tunisia,TUN,"Quarantine requirement at government designated site.

All travellers to Tunisia need to self-isolate for 14 days on arrival in a government-approved hotel at their own expense, regardless of the duration of their stay or how long they have been outside of Tunisia for. If you wish to pay for a second PCR test after 7 days, and this comes back negative, you will be permitted to leave quarantine early.
"
Turkey,TUR,"Quarantine requirement at government designated site- subject to PCR.
All arrivals into Turkey will be subject to a medical evaluation for symptoms of coronavirus, including temperature checks. Passengers who have been in the UK within the last 10 days will be quarantined for 14 days on arrival in Turkey at locations selected and funded by the local Turkish authorities. Passengers in quarantine will be given a mandatory PCR test on day 10 of their quarantine – if negative, the quarantine can end at that point."
Turkmenistan,TKM,"Quarantine requirement at government designated site.
Mandatory quarantine is in place for all arrivals from abroad for up to 21 days. You will need to complete quarantine in a state-run facility."
Turks and Caicos Islands,TCA,"Quarantine Requirement- Unknown where.
Every person returning to the island will be subject to a 14-day quarantine, be required to sign a quarantine form, and complete all required forms from the Ministry of Health."
Tuvalu,TUV,"Quarantine requirement outside territory.
Every person returning to the island will be subject to a 14-day quarantine, be required to sign a quarantine form, and complete all required forms from the Ministry of Health."
Uganda,UGA,"Quarantine requirement at government designated site- subject to screening.

Arriving passengers will be subject to temperature checks and will be screened for infectious diseases by the Port Health authorities. If a passengers shows signs or symptoms of any infectious disease they will taken by ambulance to a local isolation centre to undergo a COVID-19 test at their own cost. Test results will be returned within 24 to 48 hours; passengers will be expected to remain at the isolation centre until the test results are returned. If a foreign national tests positive for COVID-19 and wishes to be repatriated for treatment outside of Uganda, they will be expected to cover the costs themselves. "
Ukraine,UKR,"Quarantine requirement at government designated site or self-isolation at home- subject to category.

Travellers arriving from countries in what the Ukrainian authorities call the “green zone”, are not required to undergo self-isolation or observation on arrival.
Travellers arriving from countries in what the Ukrainian authorities call the “red zone”, which currently includes the UK, are required to undergo 14 days’ self-isolation proven by the <a href=""https://visitukraine.today/#diya"">“Dii Vdoma” tracking app</a>, or quarantine in a government-approved facility for 14 days upon arrival.
Mandatory self-isolation or quarantine is not necessary if a traveller undergoes a PCR test and receives a negative result no more than 48 hours in advance of his/her arrival in Ukraine, or once in Ukraine. "
United Arab Emirates,ARE,"Self-isolation at own accommodation.

Stringent entry restrictions remain in place upon arrival at all airports in the UAE which may include, but are not limited to, a Health Authority COVID-19 PCR test on arrival, mandatory quarantine period, usually via self-isolation at a private address if suitable, or a hotel or Government facility and follow up testing before you are able to complete quarantine. Once any quarantine period is complete you must continue to comply with all measures put in place by the UAE authorities to prevent the spread of COVID-19.
Arrivals from countries that the UAE authorities consider high risk, and/or for whom the authorities assess private accommodation in the UAE to be unsuitable, are likely to be required to quarantine in a government quarantine facility. "
United Kingdom of Great Britain & Northern Ireland,GBR,"Self-isolation at own accommodation.
<br>
<br>
A 10-day quarantine for all passengers returning from COVID-19 hotspots starting Feb. 15. The quarantine must be completed in a government-designated hotel at the traveler's own expense. This mandate will apply to permitted arrivals from more than 30 countries, including the UAE, Portugal, South Africa, and all South American countries.
British citizens and other foreigners arriving will be assigned to a 14-day quarantine, dependent on the country of travel. Find <a href=""https://www.gov.uk/guidance/coronavirus-covid-19-travel-corridors"">here</a> a full list of countries where travelers arriving in England will be exempt from quarantine measures.  

**Jersey: Jersey will quarantine arrivals from France for at least five days and during that time test the travelers twice for coronavirus. Travelers will remain in isolation until they have tested negative for coronavirus, in hotel rooms provided for them that they will have to pay for. French tourists who refuse to be tested will have to self-isolate for 14 days.
The measures do not include children under the age of 11. 

"
United Republic of Tanzania,TZA,"Quarantine requirement at government designated site, if symptomatic.
If you are tested for COVID-19 on arrival, you may be required to self-isolate for 14 days.

Travellers entering the country should be aware of possible health risks posed by inadequate protocols and facilities within the quarantine locations. You should comply with any additional screening measures put in place by the authorities.

Data collection"
United States of America,USA,"Self-isolation at own accommodation. 

You are expected to quarantine for at least 7 days after arriving in the US, and to take a COVID-19 test (NAAT or antigen) 3-5 days after arrival. You can find the full announcement on the <a href=""https://www.cdc.gov/coronavirus/2019-ncov/travelers/testing-international-air-travelers.html"">US Centre for Disease Control and Prevention website</a>."
Uruguay,URY,"Self-isolation at own accommodation.

Upon arrival you are legally obliged go to a declared address to carry out a 7-day mandatory quarantine. On day 7 of the quarantine you will be required to have a second swab taken and wait for a negative result before being allowed to finish your quarantine period. Alternatively you can quarantine for 14 days without having to take the second test."
Uzbekistan,UZB,"Quarantine requirement at government designated site or self-isolation at home- sibject to categorisation:

Eligible visitors arriving in Uzbekistan from a country categorised as Green (Japan, South Korea, China and Israel) or who have been in one of these countries 14 days prior to arrival will not be subject to any mandatory quarantine or self-isolation period unless they display symptoms on arrival. No track and trace app is currently available. However, all visitors arriving into the country are registered by Uzbek Authorities. If arriving from a country categorised as Yellow or Red it is mandatory to provide the address where they will self-isolate for the 14-day period.<br>"
Vanuatu,VUT,"Quarantine requirement at government designated site.

Arriving passengers are required to undergo 14 days’ quarantine at a government approved location at their own expense. "
Venezuela,VEN,"Quarantine requirement at government designated site. 

All travellers entering Venezuela must be COVID-19 tested at port of entry. If you test positive for COVID-19, quarantine at a state-designated facility is compulsory. "
